Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,mettre,to put
13,aucun,no
14,eux,them
16,chaque,each
17,parlé,speak
18,arrivé,come
19,devrait,should
20,bébé,baby
21,longtemps,long time
23,vont,will
24,pendant,while
26,aucune,any
27,place,square
28,parle,speak
29,compris,understood
30,savais,knew
31,étaient,were
32,attention,Warning
33,voici,here is
34,pourrais,could
35,affaire,case
36,type,type
37,leurs,their
38,donné,given
40,yeux,eyes
41,façon,way
42,écoute,listen
44,trouve,find
45,premier,first
46,perdu,lost
47,main,hand
49,côté,side
50,pouvoir,power
52,sois,be
53,tiens,here
55,enfant,child
56,point,point
57,suite,after
58,pardon,sorry
60,vers,towards
61,minutes,minutes
62,demandé,request
63,chambre,bedroom
64,mis,placed
65,belle,beautiful
66,droit,law
67,aimerais,would like to
68,aujourd'hui,today
70,cause,cause
71,enfin,finally
72,espère,hope
73,eau,water
74,attendez,Wait
75,parti,left
76,nouvelle,new
77,boulot,job
78,arrêter,Stop
79,dirait,would say
81,compte,account
82,donne,given
83,loin,far
84,fin,end
85,croire,believe
87,gros,large
88,aura,will have
89,filles,girls
90,jouer,to play
91,bureau,office
